prefix,prefix2,augmentation,aa,ht,cv,up,samples,metric,date,eval_accuracy,eval_mean_task_accuracy,eval_macro_f1
test,results,None,False,True,True,True,1000,accuracy,2025-12-07,0.764,0.764,0.49098892190014787
test,results,None,False,True,True,True,1000,macro_f1,2025-12-08,0.6853333333333333,0.6853333333333333,0.48793120920123584
test,results,None,False,True,True,True,1100,accuracy,2025-12-07,0.7721212121212121,0.7721212121212121,0.5064369587085864
test,results,None,False,True,True,True,1100,macro_f1,2025-12-07,0.8036363636363636,0.8036363636363635,0.6040267629017941
test,results,None,False,True,True,True,1200,accuracy,2025-12-07,0.7811111111111111,0.7811111111111112,0.5227005839833192
test,results,None,False,True,True,True,1200,macro_f1,2025-12-07,0.7877777777777778,0.7877777777777778,0.5358392718198168
test,results,None,False,True,True,True,500,macro_f1,2025-12-07,0.7413333333333333,0.7413333333333333,0.5346618809109575
test,results,None,False,True,True,True,600,macro_f1,2025-12-07,0.7377777777777778,0.7377777777777779,0.5253177637075772
test,results,None,False,True,True,True,900,accuracy,2025-12-07,0.7674074074074074,0.7674074074074074,0.6453890013979398
test,results,None,False,True,True,True,900,macro_f1,2025-12-07,0.7866666666666666,0.7866666666666666,0.5799445170521437
test,results,None,True,False,False,True,1100,accuracy,2025-12-08,0.7951515151515152,0.7951515151515152,0.4884625553713435
test,results,None,True,False,False,True,1100,macro_f1,2025-12-14,0.8242424242424242,0.8242424242424242,0.6252784995474152
test,results,None,True,False,False,True,900,macro_f1,2025-12-17,0.7807407407407407,0.7807407407407407,0.5707329704677516
test,results,None,True,False,True,True,1000,accuracy,2025-12-17,0.7826666666666666,0.7826666666666666,0.5692752203035106
test,results,None,True,False,True,True,1100,accuracy,2025-12-09,0.8145454545454546,0.8145454545454545,0.6029228315529906
test,results,None,True,False,True,True,1100,macro_f1,2025-12-14,0.8072727272727273,0.8072727272727273,0.6173373363517524
test,results,None,True,False,True,True,1200,macro_f1,2025-12-16,0.8,0.8,0.5431553300088969
test,results,None,True,True,False,True,1100,accuracy,2025-12-15,0.7987878787878788,0.7987878787878788,0.6656072046326715
test,results,None,True,True,False,True,1100,macro_f1,2025-12-09,0.7806060606060606,0.7806060606060605,0.5888057704906229
test,results,None,True,True,False,True,1200,accuracy,2025-12-09,0.7833333333333333,0.7833333333333334,0.5022195007430239
test,results,None,True,True,False,True,1200,accuracy,2025-12-16,0.78,0.78,0.5860342424530304
test,results,None,True,True,True,True,1100,macro_f1,2025-12-17,0.8121212121212121,0.8121212121212121,0.6241626171303754
test,results,None,True,True,True,True,900,accuracy,2025-12-08,0.7925925925925926,0.7925925925925925,0.5662948464288448
test,results,None,True,True,True,True,900,macro_f1,2025-12-16,0.7674074074074074,0.7674074074074074,0.5377708060133297
test,results,random_deletion,False,False,False,True,1100,accuracy,2025-12-08,0.7890909090909091,0.7890909090909091,0.5991403725133366
test,results,random_deletion,False,False,False,True,1100,macro_f1,2025-12-14,0.7503030303030302,0.7503030303030302,0.5863780607545171
test,results,random_deletion,False,False,False,True,900,macro_f1,2025-12-16,0.7659259259259259,0.765925925925926,0.580440325601467
test,results,random_deletion,False,False,True,True,1000,accuracy,2025-12-17,0.7333333333333333,0.7333333333333334,0.524971027506314
test,results,random_deletion,False,False,True,True,1100,accuracy,2025-12-09,0.7927272727272727,0.7927272727272727,0.5006794579536286
test,results,random_deletion,False,False,True,True,1100,macro_f1,2025-12-14,0.7806060606060606,0.7806060606060605,0.5848687386761828
test,results,random_deletion,False,False,True,True,1200,macro_f1,2025-12-16,0.7777777777777778,0.7777777777777779,0.5377756579008574
test,results,random_deletion,False,True,False,True,1100,accuracy,2025-12-15,0.7684848484848484,0.7684848484848485,0.5453762843524665
test,results,random_deletion,False,True,False,True,1100,macro_f1,2025-12-09,0.7624242424242424,0.7624242424242423,0.5845796298136285
test,results,random_deletion,False,True,False,True,1200,accuracy,2025-12-09,0.7622222222222222,0.7622222222222221,0.48753235277309803
test,results,random_deletion,False,True,False,True,1200,accuracy,2025-12-16,0.76,0.76,0.516524191738713
test,results,random_deletion,False,True,True,True,1100,macro_f1,2025-12-17,0.7696969696969697,0.7696969696969698,0.4991510254839354
test,results,random_deletion,False,True,True,True,900,accuracy,2025-12-08,0.7718518518518519,0.7718518518518518,0.5739101622355764
test,results,random_deletion,False,True,True,True,900,macro_f1,2025-12-16,0.7733333333333333,0.7733333333333332,0.5245488299604075
test,results,random_deletion,True,False,False,True,1100,accuracy,2025-12-08,0.7951515151515152,0.7951515151515152,0.5076707281139382
test,results,random_deletion,True,False,False,True,1100,macro_f1,2025-12-14,0.8181818181818182,0.8181818181818181,0.6225199219351315
test,results,random_deletion,True,False,False,True,900,macro_f1,2025-12-16,0.7955555555555556,0.7955555555555556,0.5805794707875325
test,results,random_deletion,True,False,True,True,1000,accuracy,2025-12-16,0.7946666666666666,0.7946666666666666,0.5533782344645362
test,results,random_deletion,True,False,True,True,1100,accuracy,2025-12-10,0.7951515151515152,0.7951515151515152,0.575453565624737
test,results,random_deletion,True,False,True,True,1100,macro_f1,2025-12-14,0.7987878787878788,0.7987878787878787,0.591209977514616
test,results,random_deletion,True,False,True,True,1200,macro_f1,2025-12-16,0.7944444444444444,0.7944444444444444,0.5400431180698699
test,results,random_deletion,True,True,False,True,1100,accuracy,2025-12-15,0.7987878787878788,0.7987878787878788,0.5247460804458776
test,results,random_deletion,True,True,False,True,1100,macro_f1,2025-12-09,0.7793939393939394,0.7793939393939394,0.5566307723476747
test,results,random_deletion,True,True,False,True,1200,accuracy,2025-12-16,0.8155555555555556,0.8155555555555555,0.6219819759479486
test,results,random_deletion,True,True,False,True,1200,accuracy,2025-12-17,0.7955555555555556,0.7955555555555556,0.5599022290930795
test,results,random_deletion,True,True,True,True,1100,macro_f1,2025-12-17,0.7442424242424243,0.7442424242424244,0.5564311284261303
test,results,random_deletion,True,True,True,True,900,accuracy,2025-12-08,0.7985185185185185,0.7985185185185184,0.5618806492706375
test,results,random_deletion,True,True,True,True,900,macro_f1,2025-12-17,0.7718518518518519,0.7718518518518518,0.5412424948691527
test,results,random_swap,False,False,False,True,1100,accuracy,2025-12-08,0.7090909090909091,0.7090909090909091,0.568735412293664
test,results,random_swap,False,False,False,True,1100,macro_f1,2025-12-14,0.6872727272727273,0.6872727272727273,0.5564288007865335
test,results,random_swap,False,False,False,True,900,macro_f1,2025-12-16,0.7303703703703703,0.7303703703703703,0.538389025084482
test,results,random_swap,False,False,True,True,1000,accuracy,2025-12-16,0.7453333333333333,0.7453333333333334,0.5308004750414035
test,results,random_swap,False,False,True,True,1100,accuracy,2025-12-09,0.7454545454545455,0.7454545454545454,0.5522019748486355
test,results,random_swap,False,False,True,True,1100,macro_f1,2025-12-14,0.7321212121212122,0.7321212121212121,0.5834716694381249
test,results,random_swap,False,False,True,True,1200,macro_f1,2025-12-16,0.7933333333333333,0.7933333333333333,0.5702558461428943
test,results,random_swap,False,True,False,True,1100,accuracy,2025-12-15,0.743030303030303,0.743030303030303,0.5724454439028889
test,results,random_swap,False,True,False,True,1100,macro_f1,2025-12-09,0.7442424242424243,0.7442424242424241,0.5862873872207832
test,results,random_swap,False,True,False,True,1200,accuracy,2025-12-09,0.7355555555555555,0.7355555555555554,0.5197618761551089
test,results,random_swap,False,True,False,True,1200,accuracy,2025-12-17,0.6977777777777778,0.6977777777777778,0.4318707332911996
test,results,random_swap,False,True,True,True,1100,macro_f1,2025-12-17,0.7090909090909091,0.7090909090909091,0.5122585553818516
test,results,random_swap,False,True,True,True,900,accuracy,2025-12-08,0.7585185185185185,0.7585185185185186,0.558428172435107
